name,color
android,#1f77b4
arrays,#1f77b4
regex,#1f77b4
multithreading,#1f77b4
swing,#1f77b4
eclipse,#1f77b4
android eclipse,#1f77b4
string,#1f77b4
arraylist,#1f77b4
generics,#1f77b4
hibernate,#ff7f0e
spring,#ff7f0e
spring spring-mvc,#ff7f0e
maven,#ff7f0e
android xml,#ff7f0e
jsp servlets,#ff7f0e
json,#ff7f0e
mysql,#ff7f0e
android android-fragments,#ff7f0e
recursion,#ff7f0e
hibernate jpa,#2ca02c
inheritance,#2ca02c
regex string,#2ca02c
javafx,#2ca02c
collections,#2ca02c
spring hibernate,#2ca02c
xml,#2ca02c
hashmap,#2ca02c
android sqlite,#2ca02c
algorithm,#2ca02c
servlets,#d62728
reflection,#d62728
enums,#d62728
jsp,#d62728
android json,#d62728
android android-asynctask,#d62728
json jackson,#d62728
if-statement,#d62728
android libgdx,#d62728
sockets,#d62728
loops,#9467bd
swing jtable,#9467bd
oop,#9467bd
android multithreading,#9467bd
netbeans,#9467bd
selenium selenium-webdriver,#9467bd
date,#9467bd
exception,#9467bd
java-util-scanner,#9467bd
arrays string,#9467bd
